Link,Name,Teams,Prize,Type,Location,Start Date,End Date
https://www.hltv.org/events/8360/ace-north-american-masters-spring-2025-closed-qualifier,ACE North American Masters Spring 2025 Closed Qualifier,16,ACE NA Masters spots,16,Feb 8th - Feb 10,08.02.2025,10.02.2025
https://www.hltv.org/events/8352/blast-rising-asia-spring-2025-closed-qualifier,BLAST Rising Asia Spring 2025 Closed Qualifier,16,Main event spots,16,Feb 7th - Feb 10,07.02.2025,10.02.2025
https://www.hltv.org/events/8343/united21-league-season-26,United21 League Season 26,8+,10000,8+,Feb 3rd - Feb 10,03.02.2025,10.02.2025
https://www.hltv.org/events/8349/ace-south-american-masters-spring-2025-blast-premier-rising-event,ACE South American Masters Spring 2025 - BLAST Premier Rising Event,8,BLAST Open spot,8,Feb 8th - Feb 9,08.02.2025,09.02.2025
https://www.hltv.org/events/8347/res-showdown-1-blast-premier-rising-event,RES Showdown 1: BLAST Premier Rising Event,8,BLAST Open spot,8,Feb 8th - Feb 9,08.02.2025,09.02.2025
https://www.hltv.org/events/8344/cct-season-2-europe-series-18-closed-qualifier,CCT Season 2 Europe Series 18 Closed Qualifier,16,CCT S2 EU Series 18 spots,16,Feb 4th - Feb 9,04.02.2025,09.02.2025
https://www.hltv.org/events/8034/iem-katowice-2025,IEM Katowice 2025,16,1250000,16,Feb 1st - Feb 9,01.02.2025,09.02.2025
https://www.hltv.org/events/8278/iem-dallas-2025-asia-open-qualifier,IEM Dallas 2025 Asia Open Qualifier,8+,Closed Qualifier spots,8+,Feb 7th - Feb 8,07.02.2025,08.02.2025
https://www.hltv.org/events/8276/iem-dallas-2025-south-america-open-qualifier,IEM Dallas 2025 South America Open Qualifier,16+,Closed Qualifier spots,16+,Feb 7th - Feb 8,07.02.2025,08.02.2025
https://www.hltv.org/events/8274/iem-dallas-2025-north-america-open-qualifier,IEM Dallas 2025 North America Open Qualifier,8+,Closed Qualifier spots,8+,Feb 7th - Feb 8,07.02.2025,08.02.2025
https://www.hltv.org/events/8272/iem-dallas-2025-europe-open-qualifier,IEM Dallas 2025 Europe Open Qualifier,16+,Closed Qualifier spots,16+,Feb 7th - Feb 8,07.02.2025,08.02.2025
https://www.hltv.org/events/8310/european-pro-league-season-22,European Pro League Season 22,16,20000,16,Jan 22nd - Feb 8,22.01.2025,08.02.2025
https://www.hltv.org/events/8291/cct-season-2-north-america-series-4,CCT Season 2 North America Series 4,24,20000,24,Jan 14th - Feb 8,14.01.2025,08.02.2025
https://www.hltv.org/events/8348/ace-south-american-masters-spring-2025-closed-qualifier,ACE South American Masters Spring 2025 Closed Qualifier,16,ACE SA Masters spots,16,Feb 5th - Feb 7,05.02.2025,07.02.2025
https://www.hltv.org/events/8346/res-showdown-1-closed-qualifier,RES Showdown 1 Closed Qualifier,16,RES Showdown spots,16,Feb 5th - Feb 7,05.02.2025,07.02.2025
https://www.hltv.org/events/8356/esl-impact-league-season-7-north-america-open-qualifier-2,ESL Impact League Season 7 North America Open Qualifier 2,4+,Impact League S7 NA spots,4+,Feb 5th - Feb 6,05.02.2025,06.02.2025
https://www.hltv.org/events/8355/esl-impact-league-season-7-europe-open-qualifier-2,ESL Impact League Season 7 Europe Open Qualifier 2,8+,Impact League S7 EU spots,8+,Feb 5th - Feb 6,05.02.2025,06.02.2025
https://www.hltv.org/events/8341/esl-impact-league-season-7-europe-open-qualifier-1,ESL Impact League Season 7 Europe Open Qualifier 1,4+,Impact League S7 EU spots,4+,Feb 1st - Feb 2,01.02.2025,02.02.2025
https://www.hltv.org/events/8289/cct-season-2-europe-series-16,CCT Season 2 Europe Series 16,24,50000,24,Jan 20th - Feb 2,20.01.2025,02.02.2025
https://www.hltv.org/events/8342/esl-impact-league-season-7-north-america-open-qualifier-1,ESL Impact League Season 7 North America Open Qualifier 1,4+,Impact League S7 NA spots,4+,Feb 1,01.02.2025,01.02.2025
https://www.hltv.org/events/8340/liga-gamers-club-2025-serie-a-january-cup,Liga Gamers Club 2025 Serie A January Cup,4+,2000,4+,Jan 31st - Feb 1,31.01.2025,01.02.2025
https://www.hltv.org/events/8290/cct-season-2-south-america-series-6,CCT Season 2 South America Series 6,24,20000,24,Jan 14th - Feb 1,14.01.2025,01.02.2025
https://www.hltv.org/events/8229/iem-katowice-2025-play-in,IEM Katowice 2025 Play-in,16,IEM Katowice '25 spots,16,Jan 29th - Jan 31,29.01.2025,31.01.2025
https://www.hltv.org/events/8338/exort-series-7,Exort Series 7,8+,10000,8+,Jan 29th - Jan 30,29.01.2025,30.01.2025
https://www.hltv.org/events/8312/cct-season-2-europe-series-17-closed-qualifier,CCT Season 2 Europe Series 17 Closed Qualifier,16,CCT S2 EU Series 17 spots,16,Jan 24th - Jan 29,24.01.2025,29.01.2025
https://www.hltv.org/events/8314/off-season-shenanigans-season-6,Off Season Shenanigans Season 6,2+,2200,2+,Jan 26,26.01.2025,26.01.2025
https://www.hltv.org/events/7909/blast-bounty-2025-season-1-finals,BLAST Bounty 2025 Season 1 Finals,8,500000,8,Jan 23rd - Jan 26,23.01.2025,26.01.2025
https://www.hltv.org/events/8285/ice-invitational-2025,ICE Invitational 2025,4,25000,4,Jan 20th - Jan 21,20.01.2025,21.01.2025
https://www.hltv.org/events/8287/european-pro-league-2nd-division-season-19,European Pro League 2nd Division Season 19,8+,10000,8+,Jan 14th - Jan 21,14.01.2025,21.01.2025
https://www.hltv.org/events/8286/united21-league-season-25,United21 League Season 25,8+,10000,8+,Jan 13th - Jan 20,13.01.2025,20.01.2025
https://www.hltv.org/events/8308/subway-suberior-league-winter-2025,Subway Suberior League Winter 2025,4+,4019,4+,Jan 19,19.01.2025,19.01.2025
https://www.hltv.org/events/8307/dust2-india-1xbet-masters-18,Dust2 India 1xBet Masters 18,4,1500,4,Jan 19,19.01.2025,19.01.2025
https://www.hltv.org/events/8306/tradeit-league-fe-masters-season-6,Tradeit League FE Masters Season 6,8+,12000,8+,Jan 18th - Jan 19,18.01.2025,19.01.2025
https://www.hltv.org/events/8288/cct-season-2-europe-series-16-closed-qualifier,CCT Season 2 Europe Series 16 Closed Qualifier,16,CCT S2 EU Series 16 spots,16,Jan 14th - Jan 19,14.01.2025,19.01.2025
https://www.hltv.org/events/8120/zowie-extremesland-asia-open-2024,ZOWIE eXTREMESLAND Asia Open 2024,16,100000,16,Jan 14th - Jan 19,14.01.2025,19.01.2025
